date,hour,temperature_c,humidity_pct,wind_speed_ms,visibility_10m,dew_point_c,solar_radiation_mjm2,rainfall_mm,snowfall_cm,holiday,functioning_day,month,day_of_week,season_Autumn,season_Spring,season_Summer,season_Winter,rented_bike_count
2017-12-01,0,-5.2,37,2.2,2000,-17.6,0.0,0.0,0.0,0,1,12,4,0,0,0,1,254
2017-12-01,1,-5.5,38,0.8,2000,-17.6,0.0,0.0,0.0,0,1,12,4,0,0,0,1,204
2017-12-01,2,-6.0,39,1.0,2000,-17.7,0.0,0.0,0.0,0,1,12,4,0,0,0,1,173
2017-12-01,3,-6.2,40,0.9,2000,-17.6,0.0,0.0,0.0,0,1,12,4,0,0,0,1,107
2017-12-01,4,-6.0,36,2.3,2000,-18.6,0.0,0.0,0.0,0,1,12,4,0,0,0,1,78
2017-12-01,5,-6.4,37,1.5,2000,-18.7,0.0,0.0,0.0,0,1,12,4,0,0,0,1,100
2017-12-01,6,-6.6,35,1.3,2000,-19.5,0.0,0.0,0.0,0,1,12,4,0,0,0,1,181
2017-12-01,7,-7.4,38,0.9,2000,-19.3,0.0,0.0,0.0,0,1,12,4,0,0,0,1,460
2017-12-01,8,-7.6,37,1.1,2000,-19.8,0.01,0.0,0.0,0,1,12,4,0,0,0,1,930
2017-12-01,9,-6.5,27,0.5,1928,-22.4,0.23,0.0,0.0,0,1,12,4,0,0,0,1,490
2017-12-01,10,-3.5,24,1.2,1996,-21.2,0.65,0.0,0.0,0,1,12,4,0,0,0,1,339
2017-12-01,11,-0.5,21,1.3,1936,-20.2,0.94,0.0,0.0,0,1,12,4,0,0,0,1,360
2017-12-01,12,1.7,23,1.4,2000,-17.2,1.11,0.0,0.0,0,1,12,4,0,0,0,1,449
2017-12-01,13,2.4,25,1.6,2000,-15.6,1.16,0.0,0.0,0,1,12,4,0,0,0,1,451
2017-12-01,14,3.0,26,2.0,2000,-14.6,1.01,0.0,0.0,0,1,12,4,0,0,0,1,447
2017-12-01,15,2.1,36,3.2,2000,-11.4,0.54,0.0,0.0,0,1,12,4,0,0,0,1,463
2017-12-01,16,1.2,54,4.2,793,-7.0,0.24,0.0,0.0,0,1,12,4,0,0,0,1,484
2017-12-01,17,0.8,58,1.6,2000,-6.5,0.08,0.0,0.0,0,1,12,4,0,0,0,1,555
2017-12-01,18,0.6,66,1.4,2000,-5.0,0.0,0.0,0.0,0,1,12,4,0,0,0,1,862
2017-12-01,19,0.0,77,1.7,2000,-3.5,0.0,0.0,0.0,0,1,12,4,0,0,0,1,600
2017-12-01,20,-0.3,79,1.5,1913,-3.5,0.0,0.0,0.0,0,1,12,4,0,0,0,1,426
2017-12-01,21,-0.8,81,0.8,1687,-3.6,0.0,0.0,0.0,0,1,12,4,0,0,0,1,405
2017-12-01,22,-0.9,83,1.5,1380,-3.4,0.0,0.0,0.0,0,1,12,4,0,0,0,1,398
2017-12-01,23,-1.3,84,1.0,1265,-3.6,0.0,0.0,0.0,0,1,12,4,0,0,0,1,323
2017-12-02,0,-1.8,87,1.1,994,-3.6,0.0,0.0,0.0,0,1,12,5,0,0,0,1,328
2017-12-02,1,-2.2,86,0.6,990,-4.2,0.0,0.0,0.0,0,1,12,5,0,0,0,1,308
2017-12-02,2,-2.9,86,1.5,1256,-4.9,0.0,0.0,0.0,0,1,12,5,0,0,0,1,262
2017-12-02,3,-3.5,81,2.2,1221,-6.2,0.0,0.0,0.0,0,1,12,5,0,0,0,1,167
2017-12-02,4,-3.8,79,2.0,1167,-6.9,0.0,0.0,0.0,0,1,12,5,0,0,0,1,89
2017-12-02,5,-4.0,79,1.5,1202,-7.1,0.0,0.0,0.0,0,1,12,5,0,0,0,1,79
2017-12-02,6,-4.3,82,2.1,1178,-6.9,0.0,0.0,0.0,0,1,12,5,0,0,0,1,70
2017-12-02,7,-4.4,81,2.5,1276,-7.1,0.0,0.0,0.0,0,1,12,5,0,0,0,1,146
2017-12-02,8,-4.2,79,2.1,1436,-7.3,0.01,0.0,0.0,0,1,12,5,0,0,0,1,219
2017-12-02,9,-2.9,68,1.6,1487,-7.9,0.3,0.0,0.0,0,1,12,5,0,0,0,1,328
2017-12-02,10,-0.4,57,1.6,1309,-7.8,0.8,0.0,0.0,0,1,12,5,0,0,0,1,334
2017-12-02,11,1.9,49,1.8,1406,-7.7,1.0,0.0,0.0,0,1,12,5,0,0,0,1,388
2017-12-02,12,4.3,41,1.3,1666,-7.8,1.09,0.0,0.0,0,1,12,5,0,0,0,1,479
2017-12-02,13,6.0,36,1.8,1780,-7.9,1.12,0.0,0.0,0,1,12,5,0,0,0,1,606
2017-12-02,14,7.3,35,1.3,1955,-7.1,0.99,0.0,0.0,0,1,12,5,0,0,0,1,611
2017-12-02,15,7.6,41,2.3,1953,-4.8,0.74,0.0,0.0,0,1,12,5,0,0,0,1,589
2017-12-02,16,6.4,48,2.6,1945,-3.8,0.22,0.0,0.0,0,1,12,5,0,0,0,1,618
2017-12-02,17,6.0,51,2.5,1891,-3.3,0.06,0.0,0.0,0,1,12,5,0,0,0,1,572
2017-12-02,18,5.5,53,1.5,1697,-3.3,0.0,0.0,0.0,0,1,12,5,0,0,0,1,489
2017-12-02,19,5.0,52,2.3,1666,-4.0,0.0,0.0,0.0,0,1,12,5,0,0,0,1,385
2017-12-02,20,4.6,51,1.2,1585,-4.6,0.0,0.0,0.0,0,1,12,5,0,0,0,1,359
2017-12-02,21,4.1,55,1.2,1448,-4.1,0.0,0.0,0.0,0,1,12,5,0,0,0,1,377
2017-12-02,22,3.5,54,1.5,1446,-4.9,0.0,0.0,0.0,0,1,12,5,0,0,0,1,354
2017-12-02,23,4.0,56,1.0,1352,-4.0,0.0,0.0,0.0,0,1,12,5,0,0,0,1,366
2017-12-03,0,4.0,58,1.4,1296,-3.5,0.0,0.0,0.0,0,1,12,6,0,0,0,1,342
2017-12-03,1,3.9,69,1.7,485,-1.2,0.0,0.0,0.0,0,1,12,6,0,0,0,1,227
2017-12-03,2,3.3,79,1.4,830,0.0,0.0,0.0,0.0,0,1,12,6,0,0,0,1,228
2017-12-03,3,3.4,71,1.6,1011,-1.3,0.0,0.5,0.0,0,1,12,6,0,0,0,1,117
2017-12-03,4,3.5,73,1.0,1060,-0.8,0.0,0.0,0.0,0,1,12,6,0,0,0,1,76
2017-12-03,5,3.9,75,1.9,914,-0.1,0.0,0.0,0.0,0,1,12,6,0,0,0,1,32
2017-12-03,6,3.4,86,2.5,278,1.2,0.0,1.0,0.0,0,1,12,6,0,0,0,1,13
2017-12-03,7,3.1,91,1.2,129,1.7,0.0,0.0,0.0,0,1,12,6,0,0,0,1,22
2017-12-03,8,3.2,92,1.8,244,2.0,0.0,0.0,0.0,0,1,12,6,0,0,0,1,85
2017-12-03,9,3.5,91,1.8,231,2.1,0.02,2.5,0.0,0,1,12,6,0,0,0,1,152
2017-12-03,10,4.4,89,2.2,257,2.7,0.24,0.0,0.0,0,1,12,6,0,0,0,1,200
2017-12-03,11,5.1,87,1.4,321,3.1,0.25,0.0,0.0,0,1,12,6,0,0,0,1,273
2017-12-03,12,5.8,85,1.7,349,3.4,0.43,0.0,0.0,0,1,12,6,0,0,0,1,333
2017-12-03,13,6.8,81,1.9,390,3.7,0.6,0.0,0.0,0,1,12,6,0,0,0,1,495
2017-12-03,14,7.6,76,1.2,422,3.6,0.69,0.0,0.0,0,1,12,6,0,0,0,1,563
2017-12-03,15,8.0,73,1.6,433,3.4,0.53,0.0,0.0,0,1,12,6,0,0,0,1,621
2017-12-03,16,7.6,77,1.6,399,3.8,0.2,0.0,0.0,0,1,12,6,0,0,0,1,598
2017-12-03,17,6.7,82,1.5,358,3.8,0.05,0.0,0.0,0,1,12,6,0,0,0,1,545
2017-12-03,18,6.0,84,1.9,327,3.4,0.0,0.0,0.0,0,1,12,6,0,0,0,1,443
2017-12-03,19,5.7,85,1.7,309,3.3,0.0,0.0,0.0,0,1,12,6,0,0,0,1,422
2017-12-03,20,5.2,87,1.4,253,3.2,0.0,0.0,0.0,0,1,12,6,0,0,0,1,397
2017-12-03,21,4.7,87,1.2,247,2.7,0.0,0.0,0.0,0,1,12,6,0,0,0,1,385
